Date(UTC),UnixTimeStamp,Value
7/30/15,1438214400,8893
7/31/15,1438300800,0
8/1/15,1438387200,0
8/2/15,1438473600,0
8/3/15,1438560000,0
8/4/15,1438646400,0
8/5/15,1438732800,0
8/6/15,1438819200,0
8/7/15,1438905600,2050
8/8/15,1438992000,2881
8/9/15,1439078400,1329
8/10/15,1439164800,2037
8/11/15,1439251200,4963
8/12/15,1439337600,2036
8/13/15,1439424000,2842
8/14/15,1439510400,3174
8/15/15,1439596800,2284
8/16/15,1439683200,2440
8/17/15,1439769600,2512
8/18/15,1439856000,2494
8/19/15,1439942400,3246
8/20/15,1440028800,2303
8/21/15,1440115200,3919
8/22/15,1440201600,3579
8/23/15,1440288000,4190
8/24/15,1440374400,4432
8/25/15,1440460800,4487
8/26/15,1440547200,4156
8/27/15,1440633600,5590
8/28/15,1440720000,4758
8/29/15,1440806400,4139
8/30/15,1440892800,4572
8/31/15,1440979200,5196
9/1/15,1441065600,5153
9/2/15,1441152000,5195
9/3/15,1441238400,4777
9/4/15,1441324800,5642
9/5/15,1441411200,5519
9/6/15,1441497600,5521
9/7/15,1441584000,5702
9/8/15,1441670400,5622
9/9/15,1441756800,5604
9/10/15,1441843200,5341
9/11/15,1441929600,6460
9/12/15,1442016000,5596
9/13/15,1442102400,6057
9/14/15,1442188800,5572
9/15/15,1442275200,5409
9/16/15,1442361600,5872
9/17/15,1442448000,5368
9/18/15,1442534400,5802
9/19/15,1442620800,5205
9/20/15,1442707200,6402
9/21/15,1442793600,6305
9/22/15,1442880000,6804
9/23/15,1442966400,7404
9/24/15,1443052800,6224
9/25/15,1443139200,5851
9/26/15,1443225600,5907
9/27/15,1443312000,5760
9/28/15,1443398400,6123
9/29/15,1443484800,5738
9/30/15,1443571200,5870
10/1/15,1443657600,6421
10/2/15,1443744000,6063
10/3/15,1443830400,6112
10/4/15,1443916800,6624
10/5/15,1444003200,6279
10/6/15,1444089600,6458
10/7/15,1444176000,7121
10/8/15,1444262400,6926
10/9/15,1444348800,6763
10/10/15,1444435200,6529
10/11/15,1444521600,6023
10/12/15,1444608000,6593
10/13/15,1444694400,6818
10/14/15,1444780800,6830
10/15/15,1444867200,6499
10/16/15,1444953600,6795
10/17/15,1445040000,6567
10/18/15,1445126400,6481
10/19/15,1445212800,6604
10/20/15,1445299200,5897
10/21/15,1445385600,6182
10/22/15,1445472000,5979
10/23/15,1445558400,6888
10/24/15,1445644800,6361
10/25/15,1445731200,5830
10/26/15,1445817600,5938
10/27/15,1445904000,6784
10/28/15,1445990400,7346
10/29/15,1446076800,7836
10/30/15,1446163200,7941
10/31/15,1446249600,7557
11/1/15,1446336000,6915
11/2/15,1446422400,6558
